StopID;Street;Longitude;Latitude;Municipality
12016;Activa Ave;-80.51526201;43.402828;Kitchener
12014;Activa Ave;-80.50979696;43.40307703;Kitchener
13670;Activa Ave;-80.508928;43.413217;Kitchener
12054;Activa Ave;-80.52013499;43.40337502;Kitchener
12056;Activa Ave;-80.51444799;43.40248002;Kitchener
12055;Activa Ave;-80.51806703;43.40274803;Kitchener
12017;Activa Ave;-80.51793796;43.40288198;Kitchener
12058;Activa Ave;-80.51025799;43.40256703;Kitchener
12046;Activa Ave;-80.51003002;43.41045998;Kitchener
10323;Adam St;-80.30975495;43.43048503;Cambridge
10546;Ainsle Terminal;-80.31281502;43.35740695;Cambridge
10497;Ainslie St N;-80.31352203;43.361892;Cambridge
10495;Ainslie St N;-80.31367804;43.35998699;Cambridge
10496;Ainslie St N;-80.31349244;43.36032878;Cambridge
13145;Ainslie St N;-80.31415984;43.36284398;Cambridge
10498;Ainslie St N;-80.31408501;43.36368799;Cambridge
10499;Ainslie St N;-80.31456294;43.36556502;Cambridge
10493;Ainslie St N;-80.314381;43.364802;Cambridge
14498;Ainslie St S;-80.31455324;43.34979968;Cambridge
